"countryName_Destination";"Notes.x";"ISO3.x";"Type.of.data..a.";"Origin";"nbMigrants";"Notes.y";"ISO3.y"
"Suriname";"";"SUR";"C";"Afghanistan";0;"";"AFG"
"Uruguay";"";"URY";"B";"Afghanistan";0;"";"AFG"
"Venezuela (Bolivarian Republic of)";"";"VEN";"B";"Afghanistan";0;"";"AFG"
"Bermuda";"";"BMU";"B";"Afghanistan";0;"";"AFG"
"Canada";"";"CAN";"B";"Afghanistan";45733;"";"AFG"
"Greenland";"";"GRL";"B";"Afghanistan";0;"";"AFG"
"Saint Pierre and Miquelon";"";"SPM";"B";"Afghanistan";0;"";"AFG"
"United States of America";"";"USA";"B";"Afghanistan";63255;"";"AFG"
"Australia";"-22";"AUS";"B";"Afghanistan";37482;"";"AFG"
"New Zealand";"";"NZL";"B";"Afghanistan";2540;"";"AFG"
"Fiji";"";"FJI";"B";"Afghanistan";0;"";"AFG"
"New Caledonia";"";"NCL";"B";"Afghanistan";0;"";"AFG"
"Papua New Guinea";"";"PNG";"C R";"Afghanistan";0;"";"AFG"
"Solomon Islands";"";"SLB";"B";"Afghanistan";0;"";"AFG"
"Vanuatu";"";"VUT";"B";"Afghanistan";0;"";"AFG"
"Guam";"";"GUM";"B";"Afghanistan";0;"";"AFG"
"Kiribati";"";"KIR";"B";"Afghanistan";0;"";"AFG"
"Marshall Islands";"";"MHL";"B";"Afghanistan";0;"";"AFG"
"Micronesia (Federated States of)";"";"FSM";"B";"Afghanistan";0;"";"AFG"
"Nauru";"";"NRU";"C";"Afghanistan";0;"";"AFG"
"Northern Mariana Islands";"";"MNP";"B";"Afghanistan";0;"";"AFG"
"Palau";"";"PLW";"B";"Afghanistan";0;"";"AFG"
"American Samoa";"";"ASM";"B";"Afghanistan";0;"";"AFG"
"Cook Islands";"";"COK";"B";"Afghanistan";0;"";"AFG"
"French Polynesia";"";"PYF";"B";"Afghanistan";0;"";"AFG"
"Niue";"";"NIU";"B";"Afghanistan";0;"";"AFG"
"Samoa";"";"WSM";"B";"Afghanistan";0;"";"AFG"
"Tokelau";"";"TKL";"B";"Afghanistan";0;"";"AFG"
"Tonga";"";"TON";"B";"Afghanistan";0;"";"AFG"
"Tuvalu";"";"TUV";"C";"Afghanistan";0;"";"AFG"
"Wallis and Futuna Islands";"";"WLF";"B";"Afghanistan";0;"";"AFG"
"Burundi";"";"BDI";"B R";"Albania";0;"";"ALB"
"Comoros";"";"COM";"B";"Albania";0;"";"ALB"
"Djibouti";"";"DJI";"B R";"Albania";0;"";"ALB"
"Eritrea";"";"ERI";"I";"Albania";0;"";"ALB"
"Ethiopia";"";"ETH";"B R";"Albania";0;"";"ALB"
