ISO3,COUNTRY,namesOr1,nbmigOr1,namesOr2,nbmigOr2,namesOr3,nbmigOr3,namesDe1,nbmigDe1,namesDe2,nbmigDe2,namesDe3,nbmigDe3
GBR,Unit Kingdom,India,776603,Poland,703050,Pakistan,540495,Australia,1289396,United States of America,714999,Canada,607377
UGA,Uganda,Democratic Republic of the Congo,303580,Sudan,164136,Rwanda,76861,Kenya,333789,South Sudan,140607,Rwanda,92195
UKR,Ukraine,Russian Federation,3276758,Belarus,245534,Kazakhstan,222245,Russian Federation,3269992,United States of America,345783,Kazakhstan,338022
ARE,Kuwait (regio,India,3499337,Egypt,935308,Bangladesh,906483,Kuwait,24662,Canada,16665,Oman,14759
TZA,Other Nairobi,Burundi,87099,Democratic Republic of the Congo,58250,Kenya,27247,United States of America,45297,Rwanda,42776,Kenya,39935
,,,,,,,,,,,,,
USA,United States,Mexico,12050031,China,2103551,India,1969286,Mexico,876528,Canada,343252,United Kingdom of Great Britain and Northern Ireland,212150
URY,Other Brasili,Argentina,22521,Spain,13224,Brazil,10496,Argentina,132749,Spain,73772,United States of America,47664
VUT,Suva (regiona,Australia,629,France,540,New Zealand,313,Guinea-Bissau,4938,Australia,1572,Turkey,740
VEN,The Bolivaria,Colombia,973315,Spain,74582,Portugal,54591,,,,,,
VNM,Viet Nam,Thailand,11552,Myanmar,11187,Bangladesh,7895,United States of America,1302870,Australia,227298,Canada,182847
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PSE,Israel and th,Israel,62895,Jordan,55709,Saudi Arabia,21778,Jordan,2142755,Lebanon,515550,Libya,286136
ESH,,Senegal,1745,Burundi,1007,Guinea,954,Algeria,90939,Iceland,41,San Marino,31
YEM,Yemen,Somalia,245683,Sudan,27082,Egypt,11096,Saudi Arabia,582886,United Arab Emirates,173480,Kuwait,65129
ZMB,Other Harare,Zimbabwe,19503,Angola,17464,Democratic Republic of the Congo,13409,South Africa,60469,Malawi,42362,United Kingdom of Great Britain and Northern Ireland,30897
ZWE,Zimbabwe,Malawi,102849,Mozambique,94382,Zambia,30662,South Africa,475406,United Kingdom of Great Britain and Northern Ireland,132942,United States of America,50001
,Kosovo,,,,,,,,,,,,
UZB,Uzbekistan,Russian Federation,877690,Ukraine,124602,Belarus,26532,Russian Federation,1146803,Kazakhstan,281713,Ukraine,219814
TKM,Turkmenistan,Uzbekistan,84960,Russian Federation,62351,Kazakhstan,18152,Russian Federation,185664,Ukraine,22602,Germany,6624
RUS,Russian Feder,Ukraine,3269992,Kazakhstan,2560269,Uzbekistan,1146803,Ukraine,3276758,Kazakhstan,2352598,Germany,1080503
AZE,Azerbaijan,Armenia,148503,Georgia,51141,Russian Federation,28760,Russian Federation,767339,Armenia,87675,Ukraine,82299
PAK,Pakistan,India,2000908,Afghanistan,1618687,Myanmar,2460,Saudi Arabia,1123260,India,1106212,United Arab Emirates,863858
IND,India,Bangladesh,3171022,Pakistan,1106212,Nepal,542947,United Arab Emirates,3499337,Pakistan,2000908,United States of America,1969286
IRN,Iran (Islamic,Afghanistan,2348369,Iraq,85523,Pakistan,28402,,,,,,
,,,,,,,,,,,,,
BTN,India,India,44732,Cameroon,906,Angola,717,Nepal,28740,India,6647,Australia,3829
MMR,Myanmar,China,33656,India,26205,Pakistan,2975,Thailand,1978348,Malaysia,252292,Saudi Arabia,202720
CHN,China,Republic of Korea,186786,Brazil,74289,Philippines,73070,"China, Hong Kong Special Administrative Region",2307783,United States of America,2103551,Republic of Korea,750639
NPL,Nepal,India,446491,Bhutan,28740,China,20308,India,542947,Saudi Arabia,381102,Malaysia,205021
BGD,Bangladesh,Malaysia,233561,Myanmar,201346,China,177772,India,3171022,Saudi Arabia,967223,United Arab Emirates,906483
,,,,,,,,,,,,,
